City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Lebu,CL,57.25,clear sky,-37.6167,-73.65,Hostal Las Lilas
10,Sakakah,SA,44.24,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
12,Nikolskoye,RU,32.4,overcast clouds,59.7035,30.7861,Tourist House - Sablino
13,Ushuaia,AR,44.26,scattered clouds,-54.8,-68.3,Albatross Hotel
18,Lagoa,PT,58.64,overcast clouds,39.05,-27.9833,Casa Das Faias
28,Chapais,CA,2.98,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
31,Damietta,EG,54.95,few clouds,31.4165,31.8133,SULIMAN INN
32,Klaksvik,FO,36.52,overcast clouds,62.2266,-6.589,Airbnb rooms
37,Vestmannaeyjar,IS,36.43,overcast clouds,63.4427,-20.2734,Glamping & Camping
42,Bani Walid,LY,48.02,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
45,Belsand,IN,55.02,clear sky,26.45,85.4,Patel ji nivas
46,Orel,RU,27.46,light snow,52.9658,36.0803,Атлантида
47,Vlaardingen,NL,43.99,broken clouds,51.9125,4.3417,ibis Rotterdam Vlaardingen
48,Castro,BR,59.81,clear sky,-24.7911,-50.0119,CHACARA BAILLY
50,Karla,EE,30.97,few clouds,59.3723,24.9275,River Villa
53,Pierreville,CA,35.67,light snow,46.0703,-72.8112,Gite du Maudit francais
54,Grobina,LV,37.26,few clouds,56.5352,21.1678,"Active tourism center ""Curonian Viking settlement"""
57,Pierre,US,49.12,overcast clouds,44.3683,-100.351,Ramkota Hotel
58,Hailar,CN,0.91,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
63,Punta Arenas,CL,44.71,broken clouds,-53.15,-70.9167,Hotel Hain
64,Canton,CN,57.15,overcast clouds,23.1167,113.25,Guangzhou Hotel
65,Malbork,PL,39.11,overcast clouds,54.0359,19.0266,Hotel Centrum Malbork
67,Atotonilco El Alto,MX,56.23,clear sky,20.55,-102.5167,Hotel Plaza
74,Vityazevo,RU,45.01,broken clouds,44.9931,37.2719,Altair Guest House
78,Muroto,JP,50.02,few clouds,33.2833,134.15,Oota Ryokan
80,Norman Wells,CA,2.68,broken clouds,65.282,-126.8329,Heritage Hotel
81,Glenwood Springs,US,40.8,overcast clouds,39.5505,-107.3248,Glenwood Springs Cedar Lodge
82,Kodiak,US,35.11,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
94,Palmer,US,41.61,clear sky,42.1584,-72.3287,Wedgewood Motel
95,Ribeira Grande,PT,59.97,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
96,Katsuura,JP,48.18,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
98,Boralday,KZ,17.46,mist,43.3578,76.8594,"Zhetysu, Too Zhetysu"
106,Saint-Francois,FR,45.84,broken clouds,46.4154,3.9054,Manoir Du Bonheur
112,Channel-Port Aux Basques,CA,32.22,overcast clouds,47.5702,-59.1367,St. Christopher's Hotel
113,Point Pleasant,US,47.01,overcast clouds,40.0832,-74.0682,Point Pleasant Manor
116,Edirne,TR,40.8,clear sky,41.6772,26.556,Taşodalar Otel
120,Gremyachinsk,RU,11.61,light snow,58.5603,57.851,"Mountain lake, recreation center"
125,Northampton,US,39.88,clear sky,40.8754,-75.2499,Gateway Motel
127,Bereda,ES,48.0,overcast clouds,43.2686,-7.5406,Pazo de Verdes
128,Alpena,US,28.54,overcast clouds,45.0617,-83.4327,Days Inn by Wyndham Alpena
130,Hofn,IS,28.45,few clouds,64.2539,-15.2082,Hótel Höfn
133,Bethel,US,44.96,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
141,Kindersley,CA,35.17,overcast clouds,51.4668,-109.1682,Kindersley Inn
145,Mairena Del Alcor,ES,53.6,clear sky,37.373,-5.7495,Ven y Veras Pizzería S.L.
146,Stromness,GB,31.96,scattered clouds,58.965,-3.296,The Old Smokery
147,Lata,PT,49.91,overcast clouds,40.1629,-8.3327,Casa Maquia
150,San Julian,MX,54.39,clear sky,21.0167,-102.1667,La Nueva España
152,Yazman,PK,56.82,clear sky,29.1212,71.7446,Jamal sons showroom
153,Husavik,IS,25.47,few clouds,66.0449,-17.3389,Bjarnabúð
156,Baghdad,IQ,46.31,clear sky,33.3406,44.4009,Baghdad Hotel
159,Freeport,US,47.01,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
160,Constitucion,CL,58.87,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
161,Pascagoula,US,50.72,mist,30.3658,-88.5561,Regency Inn
162,Kizukuri,JP,38.1,broken clouds,40.8061,140.3861,Kashiwa Roman-sō
165,Tasiilaq,GL,17.76,overcast clouds,65.6145,-37.6368,The Red House
169,Yuksekova,TR,21.69,light snow,37.5736,44.2872,Hotel Grand Yılmaz
174,Narsaq,GL,17.82,overcast clouds,60.9167,-46.05,Sleep In Narsaq
179,Haines Junction,CA,3.43,clear sky,60.7522,-137.5108,Parkside Inn
183,Sistranda,NO,32.9,light snow,63.7256,8.834,Hotell Frøya
184,Hasaki,JP,41.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
194,Ialibu,PG,57.87,overcast clouds,-6.2821,143.9935,Eastwood Guesthouse
195,Naze,JP,57.79,scattered clouds,28.3667,129.4833,Shishime Hotel
198,Bogorodskoye,RU,32.09,snow,56.55,37.8833,Sosnoviy Bor
200,Tripoli,LY,53.83,clear sky,32.8752,13.1875,Hotel Al-Safwa
203,Jamestown,US,30.52,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
212,Bardiyah,LY,52.88,clear sky,31.7561,25.0865,بورتو بردية
221,Solnechnyy,RU,10.87,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
222,Aswan,EG,49.24,clear sky,24.0934,32.907,Nuba Nile
224,Sheltozero,RU,28.17,light snow,61.3667,35.3667,The village of Vanino
225,Cheney,US,39.78,few clouds,47.4874,-117.5758,"Holiday Inn Express & Suites Cheney, an IHG Hotel"
227,Nara,JP,52.97,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
231,Whitehorse,CA,5.05,clear sky,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
240,Shimoda,JP,37.11,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
243,Juneau,US,35.6,broken clouds,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
244,Aranda De Duero,ES,44.35,overcast clouds,41.6704,-3.6892,Hotel Villa de Aranda
246,Shelburne,CA,27.66,broken clouds,44.0787,-80.2041,The Retreat at the Farm
249,Rosendahl,DE,38.66,overcast clouds,51.7667,7.95,ART HOTEL AHLEN
253,Raudeberg,NO,29.86,overcast clouds,61.9875,5.1352,Nordre Silda.
258,Standerton,ZA,59.61,overcast clouds,-26.9337,29.2415,Terrace Lofts
262,Rovaniemi,FI,20.61,overcast clouds,66.5,25.7167,Arctic City Hotel
264,Lasa,IT,35.02,few clouds,46.6166,10.7002,Pension Feldgärtenhof
265,Utica,US,36.32,overcast clouds,43.1009,-75.2327,Days Inn by Wyndham Utica
267,Torbay,CA,31.75,scattered clouds,47.6666,-52.7314,Gallows Cove
269,Mazara Del Vallo,IT,52.54,clear sky,37.6641,12.588,Vizier Resort & Spa
270,Gazalkent,UZ,35.96,overcast clouds,41.5581,69.7708,Khumson Sanatoriy
273,Kenora,CA,19.38,mist,49.8167,-94.4337,Maynard Lake Lodge
277,Mayo,US,48.38,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
285,Fort Smith,US,48.24,clear sky,35.3859,-94.3986,Hampton Inn Fort Smith
286,Kosovo Polje,XK,37.2,mist,42.6394,21.0961,Semitronix HOTEL Prishtina
287,Ancud,CL,51.42,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
292,Shingu,JP,48.9,clear sky,33.7333,135.9833,Shingu UI Hotel
295,Maarianhamina,AX,31.86,clear sky,60.0973,19.9348,Park Alandia Hotel
298,Severo-Kurilsk,RU,28.98,overcast clouds,50.6789,156.125,Kak Doma
301,Merrill,US,24.57,snow,45.1805,-89.6835,Prairie Motel
