City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kavieng,PG,-2.5744,150.7967,81.73,75,98,6.31,light rain
1,Busselton,AU,-33.65,115.3333,63.09,88,27,6.73,scattered clouds
2,Cape Town,ZA,-33.9258,18.4232,76.87,61,0,18.41,clear sky
3,Tsagan Aman,RU,47.5639,46.7218,35.46,82,79,9.17,broken clouds
4,Kapaa,US,22.0752,-159.319,67.98,94,0,10.36,clear sky
5,Port Alfred,ZA,-33.5906,26.891,73.45,72,1,6.53,clear sky
6,Havoysund,NO,70.9963,24.6622,30.43,59,100,23.35,overcast clouds
7,Atuona,PF,-9.8,-139.0333,77.09,78,24,15.46,light rain
8,Meiganga,CM,6.5167,14.3,88.66,12,2,10.13,clear sky
9,Bogdanovich,RU,56.7803,62.0494,11.52,95,100,12.5,light snow
10,Beloha,MG,-25.1667,45.05,76.28,82,56,12.93,broken clouds
11,Imeni Poliny Osipenko,RU,52.4201,136.4853,2.93,98,100,4.23,overcast clouds
12,Khatanga,RU,71.9667,102.5,8.02,84,99,16.44,overcast clouds
13,Lompoc,US,34.6391,-120.4579,70.12,54,0,8.05,clear sky
14,Rikitea,PF,-23.1203,-134.9692,79.0,72,2,18.57,light rain
15,Vaini,TO,-21.2,-175.2,78.96,94,20,4.61,few clouds
16,Tromso,NO,69.6496,18.957,26.62,80,40,6.91,light snow
17,Yar-Sale,RU,66.8333,70.8333,1.13,80,71,17.94,broken clouds
18,Kibakwe,TZ,-6.7167,36.3667,67.26,89,100,1.9,light rain
19,Huntsville,US,34.7304,-86.5861,62.4,46,0,15.01,clear sky
20,Lasa,IT,46.6166,10.7002,48.11,89,92,8.3,overcast clouds
21,Komsomolskiy,UZ,40.4272,71.7189,42.22,56,100,0.0,overcast clouds
22,Jamestown,US,42.097,-79.2353,45.72,56,75,17.27,broken clouds
23,Escanaba,US,45.7453,-87.0646,35.91,84,100,13.8,overcast clouds
24,Nuuk,GL,64.1835,-51.7216,30.81,93,100,42.57,snow
25,Valleyview,CA,55.0667,-117.2859,21.24,63,94,3.44,overcast clouds
26,Den Helder,NL,52.9599,4.7593,43.07,71,53,8.05,broken clouds
27,Luderitz,NA,-26.6481,15.1594,74.89,59,100,11.48,overcast clouds
28,Isangel,VU,-19.55,169.2667,79.68,85,100,14.45,overcast clouds
29,Haines Junction,CA,60.7522,-137.5108,12.15,73,100,2.3,overcast clouds
30,Arlit,NE,18.7369,7.3853,83.46,7,0,3.91,clear sky
31,Ostrovnoy,RU,68.0531,39.5131,19.51,92,100,11.81,overcast clouds
32,Avarua,CK,-21.2078,-159.775,73.45,100,15,2.3,few clouds
33,Lavrentiya,RU,65.5833,-171.0,-26.48,95,62,6.58,broken clouds
34,Monrovia,LR,6.3005,-10.7969,89.37,66,28,13.53,scattered clouds
35,The Pas,CA,53.8251,-101.2541,-25.58,68,0,4.61,clear sky
36,Riyadh,SA,24.6877,46.7219,71.74,17,0,5.84,clear sky
37,Chokurdakh,RU,70.6333,147.9167,-7.62,97,100,12.12,overcast clouds
38,Iralaya,HN,15.0,-83.2333,78.89,78,11,8.01,few clouds
39,Punta Arenas,CL,-53.15,-70.9167,57.22,67,75,23.02,broken clouds
40,Pangai,TO,-19.8,-174.35,81.91,76,6,12.88,light rain
41,Ushuaia,AR,-54.8,-68.3,55.06,62,40,20.71,scattered clouds
42,Norman Wells,CA,65.282,-126.8329,-16.56,69,40,5.75,scattered clouds
43,Waingapu,ID,-9.6567,120.2641,78.3,83,100,4.21,overcast clouds
44,Qaanaaq,GL,77.484,-69.3632,-25.85,71,0,7.67,clear sky
45,Didwana,IN,27.4,74.5667,63.12,26,0,4.94,clear sky
46,North Bend,US,43.4065,-124.2243,47.91,81,0,7.27,clear sky
47,Salalah,OM,17.0151,54.0924,72.32,64,9,4.45,clear sky
48,Provideniya,RU,64.3833,-173.3,-17.99,94,14,9.44,few clouds
49,Chardara,KZ,41.2547,67.9692,49.89,41,100,10.02,moderate rain
50,Bethel,US,41.3712,-73.414,50.88,45,0,9.22,clear sky
51,Luebo,CD,-5.35,21.4167,84.42,64,48,2.19,scattered clouds
52,Tapes,BR,-30.6733,-51.3958,83.68,57,0,8.9,clear sky
53,Kondinskoye,RU,59.6481,67.41,2.19,86,78,13.71,broken clouds
54,Saint-Pierre,RE,-21.3393,55.4781,78.48,78,0,4.61,clear sky
55,Xudat,AZ,41.631,48.681,42.03,77,38,8.9,scattered clouds
56,Deputatskiy,RU,69.3,139.9,-15.43,96,96,5.35,overcast clouds
57,Wisconsin Rapids,US,44.3836,-89.8174,39.49,81,100,11.5,overcast clouds
58,Khandyga,RU,62.6667,135.6,-41.42,100,70,0.49,broken clouds
59,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,40,16.11,scattered clouds
60,Hithadhoo,MV,-0.6,73.0833,81.86,69,100,8.25,overcast clouds
61,Kaitangata,NZ,-46.2817,169.8464,55.36,89,100,2.46,overcast clouds
62,Torzhok,RU,57.0436,34.9622,26.62,92,79,6.62,broken clouds
63,Clyde River,CA,70.4692,-68.5914,-16.37,76,100,29.93,heavy snow
64,Ilorin,NG,8.5,4.55,97.86,7,9,7.67,clear sky
65,Jining,CN,35.405,116.5814,40.59,56,67,6.46,broken clouds
66,Hermanus,ZA,-34.4187,19.2345,74.89,77,7,6.82,clear sky
67,Lebu,CL,-37.6167,-73.65,60.48,55,0,24.14,clear sky
68,Albany,US,42.6001,-73.9662,46.8,58,37,7.23,scattered clouds
69,Barrow,US,71.2906,-156.7887,-27.38,75,0,8.05,clear sky
70,Saldanha,ZA,-33.0117,17.9442,77.05,83,20,18.99,few clouds
71,Srednekolymsk,RU,67.45,153.6833,-37.25,100,39,5.68,scattered clouds
72,Saskylakh,RU,71.9167,114.0833,0.46,89,99,11.61,overcast clouds
73,Carnarvon,AU,-24.8667,113.6333,82.47,65,10,8.05,clear sky
74,Karpathos,GR,35.507,27.2132,55.36,67,0,5.75,clear sky
75,Dire Dawa,ET,9.5931,41.8661,71.64,42,28,9.48,scattered clouds
76,Coquimbo,CL,-29.9533,-71.3436,71.33,64,20,13.8,few clouds
77,Goderich,CA,43.7501,-81.7165,35.91,93,100,17.27,light rain
78,Ponta Do Sol,PT,32.6667,-17.1,69.71,80,1,0.2,clear sky
79,Inhambane,MZ,-23.865,35.3833,82.38,69,40,9.22,scattered clouds
80,Hilo,US,19.7297,-155.09,66.11,83,0,5.75,clear sky
81,Mataura,NZ,-46.1927,168.8643,53.67,86,100,2.53,overcast clouds
82,Tonder,DK,54.9331,8.8667,39.24,73,1,7.0,clear sky
83,Labuhan,ID,-6.8844,112.2051,76.57,90,100,6.64,moderate rain
84,Dikson,RU,73.5069,80.5464,6.04,91,100,26.4,overcast clouds
85,Saint-Philippe,RE,-21.3585,55.7679,78.39,78,42,8.01,scattered clouds
86,Tiarei,PF,-17.5333,-149.3333,77.02,71,23,17.9,few clouds
87,Oranjemund,NA,-28.55,16.4333,70.03,63,15,18.77,few clouds
88,Kasongo-Lunda,CD,-6.4667,16.8167,81.97,69,40,3.18,scattered clouds
89,Bluff,NZ,-46.6,168.3333,56.52,74,53,12.03,broken clouds
90,Srandakan,ID,-7.9386,110.2506,78.28,85,100,2.73,moderate rain
91,Point Fortin,TT,10.1833,-61.6833,89.02,60,8,12.21,clear sky
92,Corinto,GR,37.9407,22.9573,59.02,69,0,1.95,clear sky
93,Yellowknife,CA,62.456,-114.3525,-22.45,87,20,2.3,few clouds
94,Iquique,CL,-20.2208,-70.1431,73.44,61,9,8.7,clear sky
95,Codrington,AU,-38.2667,141.9667,56.73,76,9,11.77,clear sky
96,Mujiayingzi,CN,42.1167,118.7833,19.13,37,92,3.83,overcast clouds
97,Palana,RU,59.1167,159.9667,-11.96,85,39,4.05,scattered clouds
98,Rawson,AR,-43.3002,-65.1023,69.87,23,0,6.33,clear sky
99,Saint George,US,37.1041,-113.5841,58.35,49,0,4.61,clear sky
100,New Norfolk,AU,-42.7826,147.0587,51.71,61,0,2.42,clear sky
101,Bredasdorp,ZA,-34.5322,20.0403,74.28,58,0,9.66,clear sky
102,Storforshei,NO,66.4043,14.5233,27.66,92,75,2.3,light snow
103,Araouane,ML,18.9048,-3.5265,78.15,11,88,15.93,overcast clouds
104,Santa Cruz Cabralia,BR,-16.2781,-39.0247,84.43,74,40,13.8,scattered clouds
105,Victoria,HK,22.2855,114.1577,67.17,86,57,1.99,broken clouds
106,Port Keats,AU,-14.25,129.55,80.96,81,6,0.11,clear sky
107,Tomatlan,MX,19.9333,-105.25,78.42,29,0,1.66,clear sky
108,George,ZA,-33.963,22.4617,71.15,73,0,8.05,clear sky
109,Westport,US,41.1415,-73.3579,53.74,66,8,1.01,clear sky
110,Sept-Iles,CA,50.2001,-66.3821,17.06,62,20,12.66,few clouds
111,Lumut,MY,4.2323,100.6298,77.02,94,40,0.0,scattered clouds
112,Cherskiy,RU,68.75,161.3,-37.79,99,50,5.28,scattered clouds
113,Butaritari,KI,3.0707,172.7902,80.64,81,71,17.11,light rain
114,San Patricio,US,28.017,-97.5169,68.09,58,0,5.79,clear sky
115,Grajau,BR,-5.8194,-46.1386,83.71,72,97,2.71,overcast clouds
116,Garissa,KE,-0.4536,39.6401,91.81,29,34,8.48,scattered clouds
117,Paita,PE,-5.0892,-81.1144,88.36,64,85,9.15,overcast clouds
118,Santarem,BR,-2.4431,-54.7083,84.33,74,40,8.05,scattered clouds
119,Souillac,MU,-20.5167,57.5167,79.18,83,40,2.3,scattered clouds
120,Contamana,PE,-7.3333,-75.0167,91.08,46,95,4.7,overcast clouds
121,Omboue,GA,-1.5746,9.2618,81.73,75,86,9.62,light rain
122,Labuan,MY,5.2767,115.2417,79.16,94,20,0.0,few clouds
123,Karratha,AU,-20.7377,116.8463,85.78,69,6,5.48,clear sky
124,Lorengau,PG,-2.0226,147.2712,79.75,82,100,5.66,overcast clouds
125,Mahebourg,MU,-20.4081,57.7,79.09,83,40,2.3,scattered clouds
126,Touros,BR,-5.1989,-35.4608,88.7,58,56,13.44,heavy intensity rain
127,Laguna,US,38.421,-121.4238,61.3,91,0,0.0,mist
128,Airai,TL,-8.9266,125.4092,60.89,94,100,1.48,light rain
129,Svetlaya,RU,46.5389,138.3297,21.29,93,100,5.37,overcast clouds
130,Nikolskoye,RU,59.7035,30.7861,30.09,84,100,10.71,overcast clouds
131,Tautira,PF,-17.7333,-149.15,77.02,70,53,16.28,broken clouds
132,Gaoual,GN,11.75,-13.2,102.56,6,10,9.26,clear sky
133,Puerto Ayora,EC,-0.7393,-90.3518,80.56,88,47,3.0,scattered clouds
134,Saint-Augustin,CA,51.226,-58.6502,33.8,92,100,14.97,overcast clouds
135,Kavaratti,IN,10.5669,72.642,80.94,73,35,7.18,scattered clouds
136,Imbituba,BR,-28.24,-48.6703,85.89,59,0,14.58,clear sky
137,Strezhevoy,RU,60.7333,77.5889,-2.22,100,17,5.26,few clouds
138,West Wendover,US,40.7391,-114.0733,42.73,48,14,6.24,few clouds
139,Hervey Bay,AU,-25.2986,152.8535,70.03,64,0,20.92,clear sky
140,Bandar,ID,2.05,99.75,73.22,98,100,2.57,overcast clouds
141,Vung Tau,VN,10.346,107.0843,79.65,79,100,21.39,overcast clouds
142,Wanning,CN,18.8003,110.3967,67.59,74,97,6.4,overcast clouds
143,Anadyr,RU,64.75,177.4833,-32.3,68,0,11.18,clear sky
144,Tiksi,RU,71.6872,128.8694,-11.78,93,96,14.12,overcast clouds
145,Carndonagh,IE,55.25,-7.2667,46.02,76,100,16.24,light rain
